ensembl_gene_id	length
ENSG00000000003	2352
ENSG00000000005	874
ENSG00000000419	1434
ENSG00000000457	3186
ENSG00000000938	1722
ENSG00000000971	3006
ENSG00000001036	1256
ENSG00000001084	1724
ENSG00000001167	3934
ENSG00000001460	1684
ENSG00000001461	3198
ENSG00000001497	4035
ENSG00000001561	4644
ENSG00000001617	1697
ENSG00000001626	3046
ENSG00000001629	1643
ENSG00000001630	1658
ENSG00000001631	3562
ENSG00000002016	1379
ENSG00000002330	640
ENSG00000002549	1135
ENSG00000002586	815
ENSG00000002587	2716
ENSG00000002726	2037
ENSG00000002745	2190
ENSG00000002746	2135
ENSG00000002822	972
ENSG00000002834	1905
ENSG00000002919	1226
ENSG00000002933	1042
ENSG00000003056	973
ENSG00000003096	3112
ENSG00000003137	2811
ENSG00000003147	1315
ENSG00000003249	2028
ENSG00000003393	5061
ENSG00000003400	1874
ENSG00000003402	1749
ENSG00000003436	1834
ENSG00000003509	1169
ENSG00000003756	1113
ENSG00000003987	1280
ENSG00000003989	5785
ENSG00000004059	781
ENSG00000004139	2349
ENSG00000004142	2097
ENSG00000004399	1242
ENSG00000004455	3242
ENSG00000004468	1980
ENSG00000004478	879
ENSG00000004487	3217
ENSG00000004534	1623
ENSG00000004660	3359
ENSG00000004700	1328
ENSG00000004766	1706
ENSG00000004776	911
ENSG00000004777	1575
ENSG00000004779	683
ENSG00000004799	1484
ENSG00000004809	1388
ENSG00000004838	1042
ENSG00000004846	2477
ENSG00000004848	806
ENSG00000004864	1177
ENSG00000004866	1415
ENSG00000004897	1332
ENSG00000004939	2422
ENSG00000004948	2435
ENSG00000004961	1863
ENSG00000004975	1060
ENSG00000005001	950
ENSG00000005007	2784
ENSG00000005020	977
ENSG00000005022	750
ENSG00000005059	1117
ENSG00000005073	2403
ENSG00000005075	937
ENSG00000005100	2956
ENSG00000005102	1677
ENSG00000005108	3359
ENSG00000005156	1610
ENSG00000005175	1541
ENSG00000005187	1073
ENSG00000005189	1083
ENSG00000005194	1062
ENSG00000005206	1307
ENSG00000005243	601
ENSG00000005249	3213
ENSG00000005302	2294
ENSG00000005339	1940
ENSG00000005379	2679
ENSG00000005381	1631
ENSG00000005421	1146
ENSG00000005436	1901
ENSG00000005448	1028
ENSG00000005469	1574
ENSG00000005471	2164
ENSG00000005483	2587
ENSG00000005486	1049
ENSG00000005513	3688
ENSG00000005700	4103
ENSG00000005801	1443
ENSG00000005810	7386
ENSG00000005812	1531
ENSG00000005844	2077
ENSG00000005882	1041
ENSG00000005884	1678
ENSG00000005889	3223
ENSG00000005893	3323
ENSG00000005961	1358
ENSG00000005981	1971
ENSG00000006007	1654
ENSG00000006015	1248
ENSG00000006016	992
ENSG00000006025	1978
ENSG00000006042	1216
ENSG00000006047	1585
ENSG00000006059	1303
ENSG00000006062	3656
ENSG00000006071	3880
ENSG00000006116	1917
ENSG00000006118	1485
ENSG00000006125	1893
ENSG00000006128	835
ENSG00000006194	3384
ENSG00000006210	3239
ENSG00000006282	1315
ENSG00000006283	6612
ENSG00000006327	866
ENSG00000006377	1526
ENSG00000006432	4510
ENSG00000006451	1092
ENSG00000006453	1349
ENSG00000006459	5929
ENSG00000006468	2162
ENSG00000006530	1812
ENSG00000006534	2001
ENSG00000006555	1843
ENSG00000006576	2943
ENSG00000006606	589
ENSG00000006607	1240
ENSG00000006611	1478
ENSG00000006625	929
ENSG00000006634	1558
ENSG00000006638	1605
ENSG00000006652	1600
ENSG00000006659	614
ENSG00000006695	2333
ENSG00000006704	2776
ENSG00000006712	985
ENSG00000006715	1139
ENSG00000006740	2390
ENSG00000006744	1549
ENSG00000006747	1933
ENSG00000006756	1643
ENSG00000006757	2326
ENSG00000006788	5992
ENSG00000006831	1031
ENSG00000006837	1241
ENSG00000007001	1991
ENSG00000007038	772
ENSG00000007047	1816
ENSG00000007062	1957
ENSG00000007080	808
ENSG00000007129	1213
ENSG00000007168	3245
ENSG00000007171	3843
ENSG00000007174	2890
ENSG00000007216	2241
ENSG00000007237	2248
ENSG00000007255	641
ENSG00000007264	1086
ENSG00000007306	1483
ENSG00000007312	887
ENSG00000007314	2983
ENSG00000007341	1523
ENSG00000007350	1213
ENSG00000007372	2027
ENSG00000007376	1275
ENSG00000007384	1200
ENSG00000007392	1203
ENSG00000007402	4261
ENSG00000007516	3480
ENSG00000007520	930
ENSG00000007541	1399
ENSG00000007545	2136
ENSG00000007866	2464
ENSG00000007908	2246
ENSG00000007923	2546
ENSG00000007933	1008
ENSG00000007944	3426
ENSG00000007952	1610
ENSG00000007968	2873
ENSG00000008018	1415
ENSG00000008056	1676
ENSG00000008083	4039
ENSG00000008086	3741
ENSG00000008118	1908
ENSG00000008128	1381
ENSG00000008130	1201
ENSG00000008196	2421
ENSG00000008197	1378
ENSG00000008226	3240
ENSG00000008256	958
ENSG00000008277	3661
ENSG00000008282	1236
ENSG00000008283	1336
ENSG00000008294	1819
ENSG00000008300	5357
ENSG00000008311	3817
ENSG00000008323	1633
ENSG00000008324	1437
ENSG00000008382	1253
ENSG00000008394	793
ENSG00000008405	1749
ENSG00000008438	708
ENSG00000008441	1843
ENSG00000008513	1728
ENSG00000008516	2651
ENSG00000008517	832
ENSG00000008710	2075
ENSG00000008735	5648
ENSG00000008838	1297
ENSG00000008853	2568
ENSG00000008869	1913
ENSG00000008952	1260
ENSG00000008988	1453
ENSG00000009307	3497
ENSG00000009335	1864
ENSG00000009413	4964
ENSG00000009694	8946
ENSG00000009709	4030
ENSG00000009724	1864
ENSG00000009765	2554
ENSG00000009780	1584
ENSG00000009790	1385
ENSG00000009830	1365
ENSG00000009844	3050
ENSG00000009950	2088
ENSG00000009954	4123
ENSG00000010017	2021
ENSG00000010030	1536
ENSG00000010072	1752
ENSG00000010165	1674
ENSG00000010219	986
ENSG00000010244	2214
ENSG00000010256	1440
ENSG00000010270	1509
ENSG00000010278	1465
ENSG00000010282	874
ENSG00000010292	1378
ENSG00000010295	2654
ENSG00000010310	1506
ENSG00000010318	1126
ENSG00000010319	2152
ENSG00000010322	1946
ENSG00000010327	2312
ENSG00000010361	984
ENSG00000010379	852
ENSG00000010404	1842
ENSG00000010438	647
ENSG00000010539	2288
ENSG00000010610	1033
ENSG00000010626	992
ENSG00000010671	1791
ENSG00000010704	2012
ENSG00000010803	2132
ENSG00000010810	1116
ENSG00000010818	5683
ENSG00000010932	1644
ENSG00000011007	3812
ENSG00000011009	908
ENSG00000011021	2371
ENSG00000011028	2224
ENSG00000011052	1036
ENSG00000011083	2214
ENSG00000011105	1566
ENSG00000011114	3575
ENSG00000011132	1432
ENSG00000011143	2200
ENSG00000011198	1767
ENSG00000011201	2589
ENSG00000011243	2305
ENSG00000011258	2622
ENSG00000011260	805
ENSG00000011275	2021
ENSG00000011295	1629
ENSG00000011304	1864
ENSG00000011332	1529
ENSG00000011347	2442
ENSG00000011376	3041
ENSG00000011405	3526
ENSG00000011422	854
ENSG00000011426	1373
ENSG00000011451	4409
ENSG00000011454	1431
ENSG00000011465	1288
ENSG00000011478	1684
ENSG00000011485	1481
ENSG00000011523	3890
ENSG00000011566	1349
ENSG00000011590	1208
ENSG00000011600	536
ENSG00000011638	1131
ENSG00000011677	1522
ENSG00000012048	3992
ENSG00000012061	1224
ENSG00000012124	1115
ENSG00000012171	2070
ENSG00000012174	3588
ENSG00000012211	1310
ENSG00000012223	1393
ENSG00000012232	3593
ENSG00000012504	1529
ENSG00000012660	1650
ENSG00000012779	1067
ENSG00000012817	3684
ENSG00000012822	1501
ENSG00000012963	1063
ENSG00000012983	2052
ENSG00000013016	4825
ENSG00000013275	1304
ENSG00000013288	3336
ENSG00000013293	5306
ENSG00000013297	1335
ENSG00000013306	1082
ENSG00000013364	889
ENSG00000013374	1514
ENSG00000013375	2981
ENSG00000013392	3769
ENSG00000013441	1326
ENSG00000013503	2366
ENSG00000013523	3361
ENSG00000013561	1671
ENSG00000013563	1664
ENSG00000013573	1545
ENSG00000013583	1038
ENSG00000013588	2250
ENSG00000013619	3779
ENSG00000013725	1337
ENSG00000013810	1722
ENSG00000014123	2342
ENSG00000014138	2543
ENSG00000014164	1908
